POS,TEAM,P,W,L,NR,NRR,FOR,AGAINST,PTS,RECENT FORM
1,PBKS,14,11,3,0,0.968,2427/268.3,2229/276.1,22,WWLWW
2,KKR,14,9,5,0,0.418,2125/264,2110/276.3,18,WWWWW
3,CSK,14,9,5,0,0.385,2272/272,2178/273.2,18,WLLLW
4,MI,14,7,7,0,0.095,2180/271.3,2170/273.3,14,WWWWL
5,RR,14,7,7,0,0.06,2155/269.5,2164/273,14,LLLWL
6,SRH,14,6,8,0,-0.399,2102/263.4,2136/255.1,12,LWWLL
7,RCB,14,5,9,0,-0.428,2093/273.5,2163/268,10,LLLWW
8,DD,14,2,12,0,-1.182,1980/263.2,2184/251,4,LLLLL
