POS,TEAM,P,W,L,NR,NRR,FOR,AGAINST,PTS,RECENT FORM
1,MI,14,9,5,0,0.421,2380/275.1,2282/277.2,18,WWLWL
2,CSK,14,9,5,0,0.131,2043/274.1,2012/274.5,18,LWLWL
3,DC,14,9,5,0,0.044,2207/272.5,2238/278.1,18,WLWWW
4,SRH,14,6,8,0,0.577,2288/269.2,2200/277.5,12,LLWLL
5,KKR,14,6,8,0,0.028,2466/270.4,2419/266.2,12,LWWLL
6,PBKS,14,6,8,0,-0.251,2429/276.3,2503/277,12,WLLLL
7,RR,14,5,8,1,-0.449,2153/257,2192/248.2,11,LNWWL
8,RCB,14,5,8,1,-0.607,2146/258.4,2266/254.3,11,WNLWW
